algoritmo,f1_macro_cv,recall_alerta_grave,pareto_optimal
lightgbm,0.4409,0.0779,True
xgboost,0.4334,0.0623,False
random_forest,0.4271,0.0374,False
stacking,0.4257,0.0436,False
rna_committee,0.4253,0.0997,True
decision_tree,0.4215,0.0717,False
mlp,0.4208,0.0966,False
knn,0.4167,0.1090,True
lvq,0.3738,0.5639,True
svm,0.3676,0.5794,True
